trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1425,False,"{'a': 0.002, 'e': 0.057960125282394234}",25,0,-62.68324887427005,"{0: 14, 1: 6, 2: 5, 3: 0, 4: 0}",0
1426,False,"{'a': 0.002, 'e': 0.057844320874838456}",25,0,-203.70636348770844,"{0: 15, 1: 2, 2: 3, 3: 1, 4: 4}",0
1427,False,"{'a': 0.002, 'e': 0.05772874784464333}",20,0,-107.66799550977439,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
1428,False,"{'a': 0.002, 'e': 0.05761340572951652}",25,0,-100.03640417568838,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
1429,False,"{'a': 0.002, 'e': 0.057498294068089484}",30,15,-52.36502495755182,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 1}",1
1430,False,"{'a': 0.002, 'e': 0.05738341239991535}",30,17,-34.47681916125145,"{0: 9, 1: 1, 2: 2, 3: 1, 4: 0}",1
1431,False,"{'a': 0.002, 'e': 0.05726876026546736}",25,0,-54.49916848474899,"{0: 18, 1: 2, 2: 3, 3: 2, 4: 0}",0
1432,False,"{'a': 0.002, 'e': 0.05715433720613676}",20,0,-136.33094344056494,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
1433,False,"{'a': 0.002, 'e': 0.057040142764231215}",20,0,-38.26378691758911,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
1434,False,"{'a': 0.002, 'e': 0.056926176482972754}",35,0,-207.49399921651604,"{0: 20, 1: 5, 2: 6, 3: 1, 4: 3}",0
1435,False,"{'a': 0.002, 'e': 0.056812437906496156}",20,0,-66.1447316448752,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
1436,False,"{'a': 0.002, 'e': 0.0566989265798469}",20,0,-105.56375906195977,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
1437,False,"{'a': 0.002, 'e': 0.056585642048979604}",20,4,-21.851595640781348,"{0: 11, 1: 3, 2: 2, 3: 0, 4: 0}",1
1438,False,"{'a': 0.002, 'e': 0.05647258386075591}",20,0,-81.92579654586342,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
1439,False,"{'a': 0.002, 'e': 0.05635975156294299}",20,0,-167.55925853861058,"{0: 10, 1: 4, 2: 2, 3: 1, 4: 3}",0
1440,False,"{'a': 0.002, 'e': 0.05624714470421144}",20,0,-30.51227730779269,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
1441,False,"{'a': 0.002, 'e': 0.056134762834133725}",20,0,-107.19222642125516,"{0: 7, 1: 4, 2: 8, 3: 1, 4: 0}",0
1442,False,"{'a': 0.002, 'e': 0.05602260550318217}",20,0,-32.467398274324005,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
1443,False,"{'a': 0.002, 'e': 0.055910672262727355}",25,0,-107.15393095979636,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
1444,False,"{'a': 0.002, 'e': 0.05579896266503611}",25,0,-202.31113054385693,"{0: 11, 1: 3, 2: 8, 3: 0, 4: 3}",0
1445,False,"{'a': 0.002, 'e': 0.05568747626326995}",20,0,-36.88657742346722,"{0: 14, 1: 4, 2: 1, 3: 1, 4: 0}",0
1446,False,"{'a': 0.002, 'e': 0.05557621261148306}",20,10,-33.12350070815984,"{0: 5, 1: 3, 2: 1, 3: 1, 4: 0}",1
1447,False,"{'a': 0.002, 'e': 0.05546517126462075}",30,0,-111.38325120231418,"{0: 22, 1: 2, 2: 2, 3: 3, 4: 1}",0
1448,False,"{'a': 0.002, 'e': 0.05535435177851743}",25,0,-151.46420232959238,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
1449,False,"{'a': 0.002, 'e': 0.055243753709895045}",20,0,-9.28323350076118,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
1450,False,"{'a': 0.002, 'e': 0.05513337661636114}",20,5,-59.72807622318894,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 1}",1
1451,False,"{'a': 0.002, 'e': 0.05502322005640723}",20,0,-31.967449490109715,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
1452,False,"{'a': 0.002, 'e': 0.05491328358940689}",20,0,-101.04985867001032,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
1453,False,"{'a': 0.002, 'e': 0.054803566775614154}",20,0,-129.54941423966085,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
1454,False,"{'a': 0.002, 'e': 0.05469406917616156}",35,0,-201.04137989955524,"{0: 20, 1: 4, 2: 5, 3: 4, 4: 2}",0
1455,False,"{'a': 0.002, 'e': 0.054584790353058625}",35,0,-204.5255865382631,"{0: 21, 1: 4, 2: 5, 3: 2, 4: 3}",0
1456,False,"{'a': 0.002, 'e': 0.05447572986918986}",20,0,-93.72895397032545,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
1457,False,"{'a': 0.002, 'e': 0.05436688728831322}",30,0,-127.040393283488,"{0: 19, 1: 4, 2: 5, 3: 0, 4: 2}",0
1458,False,"{'a': 0.002, 'e': 0.05425826217505821}",25,0,-220.5454529179894,"{0: 12, 1: 5, 2: 3, 3: 1, 4: 4}",0
1459,False,"{'a': 0.002, 'e': 0.05414985409492427}",35,0,-115.63517421961687,"{0: 21, 1: 5, 2: 8, 3: 0, 4: 1}",1
1460,False,"{'a': 0.002, 'e': 0.054041662614278875}",35,0,-164.0723726262059,"{0: 23, 1: 3, 2: 6, 3: 0, 4: 3}",1
1461,False,"{'a': 0.002, 'e': 0.05393368730035602}",30,0,-118.99546981815159,"{0: 17, 1: 5, 2: 6, 3: 1, 4: 1}",0
1462,False,"{'a': 0.002, 'e': 0.05382592772125425}",20,0,-82.5341030443133,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
